rxn.number,e.acceptor,e.donor,reactant.a ,reactant.b,reactant.c,reactant.d,product.e,product.f,product.g,product.h,product.i,e.transfer,coeff.a,coeff.b,coeff.c,coeff.d,coeff.e,coeff.f,coeff.g,coeff.h,coeff.i,state.a,state.b,state.c,state.d,state.e,state.f,state.g,state.h,state.i
25,gypsum,CO,gypsum,CO,H2O,,HS-,Ca+2,HCO3-,H+,,8,-1,-4,-2,,1,1,4,3,,cr,aq,liq,,aq,aq,aq,aq,
26,NO3-,siderite,siderite,NO3-,H2O,,ferrihydrite,NO2-,HCO3-,H+,,2,-2,-1,-3,,2,1,2,2,,cr,aq,liq,,cr,aq,aq,aq,
27,SO4-2,siderite,siderite,SO4-2,H2O,,ferrihydrite,HS-,HCO3-,H+,,8,-8,-1,-12,,8,1,8,7,,cr,aq,liq,,cr,aq,aq,aq,
28,CO,siderite,siderite,CO,H2O,,ferrihydrite,HCO3-,methane,H+,,6,-6,-1,-11,,6,6,1,6,,cr,aq,liq,,cr,aq,aq,aq,
29,hematite,H2,hematite,H2,H+,,Fe+2,H2O,,,,2,-1,-1,-4,,2,3,,,,cr,aq,aq,,aq,liq,,,
30,hematite,HS-,hematite,HS-,H+,,Fe+2,sulfur,H2O,,,2,-1,-1,-5,,2,1,3,,,cr,aq,aq,,aq,cr,liq,,
31,hematite,NH4+,hematite,NH4+,H+,,Fe+2,NO2-,H2O,,,6,-3,-1,-10,,6,1,7,,,cr,aq,aq,,aq,aq,liq,,
32,hematite,methane,hematite,methane,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-15,,8,1,9,,,cr,aq,aq,,aq,aq,liq,,
33,hematite,sulfur,hematite,sulfur,H+,,Fe+2,SO4-2,H2O,,,6,-3,-1,-10,,6,1,5,,,cr,cr,aq,,aq,aq,liq,,
34,hematite,acetate,hematite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-15,,8,2,8,,,cr,aq,aq,,aq,aq,liq,,
35,hematite,Mn+2,hematite,Mn+2,H2O,,Fe+2,manganite,,,,2,-1,-2,-1,,2,2,,,,cr,aq,liq,,aq,cr,,,
36,hematite,CO,hematite,CO,H+,,Fe+2,HCO3-,H2O,,,2,-1,-1,-3,,2,1,1,,,cr,aq,aq,,aq,aq,liq,,
37,NO3-,pyrite,pyrite,NO3-,,,Fe+2,SO4-2,NO2-,,,16,-1,-8,,,1,2,8,,,cr,aq,,,aq,aq,aq,,
38,HCO3-,pyrite,pyrite,HCO3-,H2O,H+,Fe+2,SO4-2,methane,,,16,-1,-2,-2,-2,1,2,2,,,cr,aq,liq,aq,aq,aq,aq,,
39,CO,pyrite,pyrite,CO,H2O,,Fe+2,SO4-2,methane,,,48,-3,-8,-16,,3,6,8,,,cr,aq,liq,,aq,aq,aq,,
