"","Comparison","SIMPER","OTU"
"1","fluid_inert.control",0.104220189867043,"Betaproteobacteria.Betaproteobacteriales.Gallionellaceae"
"2","fluid_inert.control",0.098107595698744,"Betaproteobacteria.Betaproteobacteriales.Rhodocyclaceae"
"3","fluid_inert.control",0.072938746439214,"Unassigned.Other.Other.Other.Other"
"4","fluid_inert.control",0.059909787401009,"Deltaproteobacteria.Desulfovibrionales.Desulfomicrobiaceae"
"5","fluid_inert.control",0.053162706482952,"Firmicutes.Clostridia.Other.Other"
"6","fluid_inert.control",0.05208729409117,"Deltaproteobacteria.Desulfobacterales.Desulfobulbaceae"
"7","fluid_inert.control",0.041283139548045,"Betaproteobacteria.Betaproteobacteriales.Sulfuricellaceae"
"8","fluid_inert.control",0.030947632534407,"Omnitrophicaeota.Other.Other.Other"
"9","fluid_inert.control",0.027319181938583,"Acetothermia.Acetothermiia.Other.Other"
"10","fluid_inert.control",0.024284701487764,"Betaproteobacteria.Betaproteobacteriales.Hydrogenophilaceae"
"11","fluid_inert.control",0.023155485669424,"Chloroflexi.Anaerolineae.Anaerolineales.Anaerolineaceae"
"12","fluid_inert.control",0.022543799762018,"Nitrospirae.Thermodesulfovibrionia.uncultured.uncultured bacterium"
"13","fluid_inert.control",0.019252276721521,"Nitrospirae.Thermodesulfovibrionia.uncultured.Other"
"14","fluid_inert.control",0.017852731491704,"Omnitrophicaeota.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"15","fluid_inert.control",0.014482635764253,"Alphaproteobacteria.Rhizobiales.Rhizobiaceae"
"16","fluid_inert.control",0.0136211248,"Bacteroidetes.Ignavibacteria.Ignavibacteriales.Other"
"17","fluid_inert.control",0.012981388935457,"Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae"
"18","fluid_inert.control",0.012548501000448,"Zixibacteria.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"19","fluid_inert.control",0.012338700443846,"Nitrospirae.4-29-1.Other.Other"
"20","fluid_inert.control",0.0121833594531471,"Gammaproteobacteria.Pseudomonadales.Moraxellaceae"
"21","fluid_inert.control",0.0109785235749229,"Deltaproteobacteria.Desulfarculales.Desulfarculaceae"
"22","fluid_inert.control",0.00934867343386903,"Nanoarchaeaeota.Woesearchaeia.uncultured archaeon.uncultured archaeon"
"23","fluid_inert.control",0.00860264299490898,"Bacteroidetes.Bacteroidia.Sphingobacteriales.Lentimicrobiaceae"
"24","fluid_inert.control",0.00859444125305509,"Firmicutes.Clostridia.Clostridiales.Syntrophomonadaceae"
"25","fluid_inert.control",0.00840678539945594,"Latescibacteria.Latescibacteria.Latescibacterales.Latescibacteraceae"
"26","fluid_inert.control",0.00765731022891702,"Deltaproteobacteria.Syntrophobacterales.Syntrophaceae"
"27","fluid_inert.control",0.00700346736838597,"Bacteroidetes.Ignavibacteria.Kryptoniales.BSV26"
"28","fluid_inert.control",0.00679940803108003,"Betaproteobacteria.Betaproteobacteriales.Burkholderiaceae"
"29","fluid_inert.control",0.00586834629591293,"Tenericutes.Mollicutes.Acholeplasmatales.Acholeplasmataceae"
"30","fluid_inert.control",0.00575696664154801,"Alphaproteobacteria.Other.Other"
"31","fluid_inert.control",0.00567724571073502,"Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae"
"32","fluid_inert.control",0.00547941969723698,"Firmicutes.Clostridia.Clostridiales.Peptococcaceae"
"33","fluid_inert.control",0.00536820407770899,"Spirochaetes.uncultured.uncultured bacterium.uncultured bacterium"
"34","fluid_inert.control",0.00503603353265802,"Firmicutes.Clostridia.D8A-2.uncultured bacterium"
"35","fluid_inert.control",0.00493334772465603,"Firmicutes.Clostridia.D8A-2.Other"
"36","fluid_inert.control",0.00442205113753302,"Deltaproteobacteria.Other.Other"
"37","fluid_inert.control",0.00438219067212597,"Gammaproteobacteria.Methylococcales.Methylomonaceae"
"38","fluid_inert.control",0.00308713563351704,"Actinobacteria.Thermoleophilia.Gaiellales.uncultured"
"39","fluid_inert.control",0.00301249978265394,"Zixibacteria.Other.Other.Other"
"40","fluid_inert.control",0.00295902442577101,"Patescibacteria.Parcubacteria.Other.Other"
"41","fluid_inert.control",0.00268672659624802,"Bacteroidetes.Ignavibacteria.Ignavibacteriales.Melioribacteraceae"
"42","fluid_inert.control",0.00259749164488599,"Deltaproteobacteria.MBNT15.Other"
"43","fluid_inert.control",0.00256812940905105,"Deltaproteobacteria.Bdellovibrionales.Bdellovibrionaceae"
"44","fluid_inert.control",0.00251366984314694,"Bacteroidetes.Ignavibacteria.OPB56.Other"
"45","fluid_inert.control",0.00250563213612998,"Betaproteobacteria.Betaproteobacteriales.Other"
"46","fluid_inert.control",0.00249513390655909,"Deltaproteobacteria.Myxococcales.P3OB-42"
"47","fluid_inert.control",0.00241656121960498,"Chlamydiae.LD1-PA32.Other.Other"
"48","fluid_inert.control",0.00238670687926001,"FCPU426.Other.Other.Other"
"49","fluid_inert.control",0.00236439814141998,"Alphaproteobacteria.Rhizobiales.Beijerinckiaceae"
"50","fluid_inert.control",0.00236259375821202,"LCP-89.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"51","fluid_inert.control",0.00235078324994398,"Alphaproteobacteria.NRL2.Other"
"52","fluid_inert.control",0.00233109906949602,"Planctomycetes.Phycisphaerae.mle1-8.Other"
"53","fluid_inert.control",0.00223005360986495,"Euryarchaeota.Thermoplasmata.Marine Group II.uncultured euryarchaeote"
"54","fluid_inert.control",0.00198826626003501,"Alphaproteobacteria.Rhodospirillales.Magnetospirillaceae"
"55","fluid_inert.control",0.00188049537208501,"Gammaproteobacteria.Coxiellales.Coxiellaceae"
"56","fluid_inert.control",0.00182078669139496,"Dependentiae.Babeliae.Babeliales.Other"
"57","fluid_inert.control",0.001721709649808,"Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae"
"58","fluid_inert.control",0.00162788172300898,"Deltaproteobacteria.Deltaproteobacteria Incertae Sedis.Unknown Family"
"59","fluid_inert.control",0.00162066419017803,"Gammaproteobacteria.Other.Other"
"60","fluid_inert.control",0.00156751690296997,"Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae"
"61","fluid_inert.control",0.00156095550948709,"Actinobacteria.MB-A2-108.Other.Other"
"62","fluid_inert.control",0.00155816691725796,"Patescibacteria.Microgenomatia.Candidatus Collierbacteria.Other"
"63","fluid_inert.control",0.00155176955861103,"Deltaproteobacteria.PB19.Other"
"64","fluid_inert.control",0.00150387138619001,"BRC1.Other.Other.Other"
"65","fluid_inert.control",0.00146548723431694,"Bacteroidetes.Bacteroidia.Bacteroidales.Other"
"66","fluid_inert.control",0.00145334865637403,"Actinobacteria.Actinobacteria.Frankiales.Sporichthyaceae"
"67","fluid_inert.control",0.00137838473583696,"Spirochaetes.Spirochaetia.Brevinematales.Brevinemataceae"
"68","fluid_inert.control",0.001332619016296,"Bacteria.Other"
"69","fluid_inert.control",0.00132343306542004,"Bacteroidetes.Bacteroidia.Bacteroidales.Prolixibacteraceae"
"70","fluid_inert.control",0.00130194450176602,"Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae"
"71","fluid_inert.control",0.00129095416768199,"Latescibacteria.Other.Other.Other"
"72","fluid_inert.control",0.00127110595239799,"Gammaproteobacteria.Legionellales.Legionellaceae"
"73","fluid_inert.control",0.00126782525565694,"Patescibacteria.Parcubacteria.CG1-02-42-13.Parcubacteria group bacterium CG1_02_42_13"
"74","fluid_inert.control",0.00126503666342603,"Gammaproteobacteria.Diplorickettsiales.Diplorickettsiaceae"
"75","fluid_inert.control",0.00124026740302996,"Nanoarchaeaeota.Woesearchaeia.Other.Other"
"76","fluid_inert.control",0.00121024902784805,"Gammaproteobacteria.Oceanospirillales.Pseudohongiellaceae"
"77","fluid_inert.control",0.00117793416494594,"WOR-1.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"78","fluid_inert.control",0.00112445880806411,"Actinobacteria.RBG-16-55-12.Other.Other"
"79","fluid_inert.control",0.00111018777723892,"Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae"
"80","fluid_inert.control",0.00102620194066305,"Gammaproteobacteria.Cellvibrionales.Porticoccaceae"
"81","fluid_inert.control",0.00101094670081692,"Planctomycetes.vadinHA49.Other.Other"
"82","fluid_inert.control",0.00100487741184507,"Deltaproteobacteria.Myxococcales.Other"
"83","fluid_inert.control",0.00100192478477801,"Patescibacteria.Microgenomatia.Candidatus Woesebacteria.uncultured Microgenomates group bacterium"
"84","fluid_inert.control",0.000993230938413969,"Patescibacteria.CPR2.uncultured bacterium.uncultured bacterium"
"85","fluid_inert.control",0.000973382723128968,"Bacteroidetes.Bacteroidia.Chitinophagales.Chitinophagaceae"
